,type,title,listed_in,score
15057,movie,small town crime,thrillers,3.6
15058,movie,the last days,documentaries,3.5
15061,movie,amy tan: unintended memoir,documentaries,3.6
15062,movie,sardar ka grandson,"comedies, dramas, international movies",3.5
15063,movie,sleight,"dramas, independent movies, sci-fi & fantasy",3.6
15064,movie,ahaan,"dramas, independent movies, international movies",3.6
15066,movie,love or money,"dramas, international movies, romantic movies",3.5
15068,movie,cinema bandi,"comedies, independent movies, international movies",3.5
15069,movie,ferry,"dramas, international movies, thrillers",3.5
15072,movie,i am all girls,"dramas, international movies, thrillers",3.5
15073,movie,jungle beat: the movie,"children & family movies, comedies",3.7
15076,movie,table manners,"comedies, dramas, international movies",3.6
15078,movie,the strange house,"horror movies, international movies, thrillers",3.6
15079,movie,the upshaws - the afterparty,comedies,3.5
15080,movie,the woman in the window,"dramas, thrillers",3.5
15082,movie,layer cake,"independent movies, international movies, thrillers",3.5
15083,movie,tottaa pataaka item maal,"dramas, independent movies, international movies",3.5
15084,movie,wave of cinema: filosofi kopi,"documentaries, international movies, music & musicals",3.4
15085,movie,dance of the forty one,"dramas, independent movies, international movies",3.6
15086,movie,oxygen,"dramas, international movies, thrillers",3.6
15089,movie,dear affy,"comedies, dramas, international movies",3.5
15090,movie,illegal woman,"dramas, international movies",3.5
15092,movie,deadly switch,"independent movies, thrillers",3.6
15094,movie,nayattu,"dramas, international movies, thrillers",3.5
15095,movie,sleepless,action & adventure,3.6
15096,movie,super me,"action & adventure, dramas, international movies",3.5
15097,movie,have you ever seen fireflies? - theatre play,"dramas, international movies",3.5
15098,movie,in our mothers' gardens,documentaries,3.5
15100,movie,milestone,"dramas, independent movies, international movies",3.5
15101,movie,monster,dramas,3.5
15103,movie,the circle - the afterparty,comedies,3.5
15104,movie,time to dance,"dramas, international movies, romantic movies",3.5
15105,movie,unrest,documentaries,3.5
15106,movie,and tomorrow the entire world,"dramas, international movies, thrillers",3.5
15107,movie,dead man down,action & adventure,3.5
15108,movie,framing john delorean,"documentaries, dramas",3.6
15113,movie,the clovehitch killer,"dramas, independent movies, thrillers",3.5
15115,movie,aliens stole my body,"children & family movies, comedies",3.6
15117,movie,au coeur des gangs,"action & adventure, dramas",3.5
15119,movie,best of the best,"action & adventure, sports movies",3.6
15120,movie,dead again in tombstone,"action & adventure, horror movies",3.5
15121,movie,due date,"action & adventure, comedies",3.5
15122,movie,fun with dick & jane,comedies,3.5
15123,movie,green zone,action & adventure,3.5
15124,movie,hachi: a dog's tale,"children & family movies, dramas",3.5
15125,movie,jt leroy,"dramas, independent movies",3.6
15126,movie,madagascar 3: europe's most wanted,"children & family movies, comedies",3.5
15128,movie,motu patlu in dragon's world,"children & family movies, comedies",3.6
15129,movie,motu patlu in the game of zones,"children & family movies, comedies, music & musicals",3.5
15130,movie,motu patlu in wonderland,"children & family movies, music & musicals",3.5
15131,movie,motu patlu: deep sea adventure,"children & family movies, comedies",3.6
15132,movie,motu patlu: mission moon,"children & family movies, comedies",3.6
15133,movie,mystic river,"dramas, thrillers",3.6
15134,movie,never back down,"action & adventure, dramas, sports movies",3.5
15135,movie,s.m.a.r.t chase,action & adventure,3.6
15136,movie,sitting in limbo,"dramas, international movies",3.5
15137,movie,stargate,"action & adventure, sci-fi & fantasy",3.6
15138,movie,state of play,"dramas, thrillers",3.6
15139,movie,swiped,comedies,3.6
15140,movie,the darkest hour,"action & adventure, sci-fi & fantasy",3.5
15141,movie,the lovely bones,"dramas, international movies, sci-fi & fantasy",3.6
15142,movie,the sweetest thing,"comedies, romantic movies",3.5
15143,movie,the whole nine yards,"action & adventure, comedies",3.5
15144,movie,the whole truth,"dramas, thrillers",3.5
15145,movie,the yeti adventures,"children & family movies, comedies",3.5
15146,movie,under siege,action & adventure,3.5
15147,movie,zack and miri make a porno,"comedies, independent movies, romantic movies",3.5
15149,movie,seven,"dramas, international movies",3.6
15150,movie,the disciple,"dramas, independent movies, international movies",3.5
15152,movie,the mitchells vs. the machines,"children & family movies, comedies",3.5
15153,movie,the strangers: prey at night,horror movies,3.5
15155,movie,things heard & seen,"horror movies, thrillers",3.5
15157,movie,get the grift,"comedies, international movies",3.5
15160,movie,august: osage county,dramas,3.6
15161,movie,battle: los angeles,"action & adventure, sci-fi & fantasy",3.4
15162,movie,between worlds,thrillers,3.5
15164,movie,one,"dramas, international movies",3.6
15165,movie,ram prasad ki tehrvi,"dramas, independent movies, international movies",3.5
15166,movie,shadow and bone - the afterparty,"action & adventure, comedies, dramas",3.6
15167,movie,among family,"comedies, international movies",3.6
15168,movie,dedemin fisi,"comedies, international movies",3.5
15169,movie,deliha,"comedies, international movies, romantic movies",3.6
15170,movie,düğün dernek,"comedies, international movies",3.5
15171,movie,dügün dernek 2: sünnet,"comedies, international movies",3.6
15172,movie,g.o.r.a,"action & adventure, comedies, international movies",3.4
15173,movie,hayat öpücügü,"comedies, dramas, international movies",3.6
15174,movie,heroes: silence and rock & roll,"documentaries, international movies, music & musicals",3.4
15175,movie,kara bela,"comedies, international movies",3.6
15176,movie,kocan kadar konus,"comedies, international movies, romantic movies",3.5
15177,movie,kocan kadar konus 2: dirilis,"comedies, international movies, romantic movies",3.6
15178,movie,legal hash,"comedies, international movies",3.5
15180,movie,my travel buddy,"comedies, international movies",3.5
15181,movie,niyazi gül dörtnala,"comedies, international movies",3.6
15182,movie,one like it,"dramas, independent movies, international movies",3.5
15183,movie,perfume imaginary museum “time warp”,"international movies, music & musicals",3.6
15185,movie,this lady called life,"dramas, international movies, romantic movies",3.5
15186,movie,vizontele,"comedies, dramas, international movies",3.6
15187,movie,homunculus,"horror movies, international movies, thrillers",3.5
15189,movie,searching for sheela,"documentaries, international movies",3.5
15190,movie,stowaway,"dramas, international movies, thrillers",3.5
15191,movie,wild dog,"action & adventure, international movies",3.6
15192,movie,oloibiri,"dramas, international movies, thrillers",3.5
15193,movie,tell me when,"comedies, international movies",3.5
15196,movie,keymon and nani in space adventure,"children & family movies, comedies",3.5
15197,movie,motu patlu dino invasion,"children & family movies, comedies",3.5
15198,movie,motu patlu in octupus world,"children & family movies, comedies",3.6
15199,movie,motu patlu vs robo kids,children & family movies,3.5
15200,movie,rudra: secret of the black moon,children & family movies,3.6
15201,movie,rudra: the rise of king pharaoh,children & family movies,3.6
15202,movie,free to play,documentaries,3.5
15204,movie,miss sloane,thrillers,3.6
15206,movie,american me,dramas,3.5
15207,movie,delhi belly,"action & adventure, comedies, international movies",3.5
15208,movie,dhobi ghat (mumbai diaries),"dramas, international movies",3.5
15209,movie,jaane tu... ya jaane na,"comedies, international movies, music & musicals",3.6
15210,movie,lagaan,"dramas, international movies, music & musicals",3.5
15211,movie,madness in the desert,"documentaries, international movies",3.5
15212,movie,peepli live,"comedies, dramas, independent movies",3.6
15213,movie,taare zameen par,"dramas, international movies",3.5
15214,movie,ajeeb daastaans,"dramas, independent movies, international movies",3.5
15215,movie,arlo the alligator boy,"children & family movies, comedies, music & musicals",3.5
15217,movie,barbie & chelsea: the lost birthday,children & family movies,3.5
15218,movie,crimson peak,"horror movies, romantic movies, sci-fi & fantasy",3.6
15219,movie,dad stop embarrassing me - the afterparty,comedies,3.6
15220,movie,doctor bello,"dramas, international movies",3.5
15221,movie,four sisters before the wedding,"children & family movies, comedies, dramas",3.5
15222,movie,into the beat,"dramas, international movies, romantic movies",3.5
15224,movie,rush,"action & adventure, dramas, international movies",3.5
15225,movie,synchronic,thrillers,3.5
15226,movie,the zookeeper's wife,dramas,3.5
15227,movie,time trap,"action & adventure, sci-fi & fantasy",3.6
15228,movie,tuesdays & fridays,"comedies, dramas, international movies",3.6
15230,movie,dark city beneath the beat,"documentaries, music & musicals",3.6
15232,movie,gantz:o,"action & adventure, anime features, horror movies",3.6
15237,movie,only mine,thrillers,3.5
15241,movie,ride or die,"dramas, international movies, lgbtq movies",3.5
15243,movie,the master,"dramas, independent movies",3.6
15244,movie,time is illmatic,"documentaries, music & musicals",3.5
15245,movie,wave of cinema: one day we'll talk about today,"documentaries, international movies, music & musicals",3.5
15246,movie,zoot suit,"cult movies, dramas, music & musicals",3.6
15257,movie,the soul,"dramas, international movies, thrillers",3.5
15260,movie,uppena,"dramas, international movies, romantic movies",3.5
15261,movie,why did you kill me?,documentaries,3.6
15262,movie,motu patlu in hong kong: kung fu kings 3,"children & family movies, music & musicals",3.5
15263,movie,motu patlu in the city of gold,"children & family movies, comedies, music & musicals",3.5
15264,movie,motu patlu kung fu kings 4 the challenge of kung fu brothers,"children & family movies, music & musicals",3.5
15265,movie,motu patlu the superheroes – super villains from mars,children & family movies,3.6
15267,movie,shiva vs autobots,children & family movies,3.5
15268,movie,shiva: journey to plunotaria,children & family movies,3.5
15269,movie,shiva: the secret world of vedas city,children & family movies,3.5
15271,movie,new gods: nezha reborn,"action & adventure, anime features, international movies",3.5
15274,movie,the stand-in,comedies,3.6
15276,movie,night in paradise,"dramas, international movies",3.6
15277,movie,ojukokoro: greed,"dramas, international movies, thrillers",3.6
15278,movie,roohi,"comedies, horror movies, international movies",3.6
15279,movie,thunder force,"action & adventure, comedies",3.5
15280,movie,two distant strangers,dramas,3.6
15281,movie,story of kale: when someone's in love,"dramas, international movies, romantic movies",3.6
15283,movie,dolly parton: a musicares tribute,"documentaries, music & musicals",3.5
15287,movie,the last kids on earth: happy apocalypse to you,"children & family movies, comedies",3.5
15288,movie,coded bias,documentaries,3.5
15289,movie,mandela,"comedies, dramas, international movies",3.5
15290,movie,the fisherman's diary,"dramas, international movies",3.4
15291,movie,what lies below,"horror movies, thrillers",3.5
15292,movie,escape from planet earth,"children & family movies, comedies, sci-fi & fantasy",3.5
15293,movie,accepted,comedies,3.6
15294,movie,air strike,"action & adventure, dramas, international movies",3.5
15295,movie,an american girl: mckenna shoots for the stars,"children & family movies, comedies, dramas",3.6
15296,movie,concrete cowboy,"dramas, independent movies",3.5
15297,movie,cross: rise of the villains,action & adventure,3.5
15298,movie,god calling,"dramas, faith & spirituality, international movies",3.6
15299,movie,irul,"international movies, thrillers",3.5
15300,movie,just say yes,"comedies, international movies, romantic movies",3.5
15301,movie,madame claude,"dramas, international movies",3.5
15302,movie,wild child,"comedies, romantic movies",3.5
15303,movie,woody woodpecker,"children & family movies, comedies",3.6
15304,movie,2012,"action & adventure, sci-fi & fantasy",3.5
15305,movie,3 idiots,"comedies, dramas, international movies",3.5
15306,movie,ferrari ki sawaari,"comedies, international movies, sports movies",3.5
15308,movie,ibrahim a fate to define,"documentaries, international movies",3.6
15309,movie,insidious,"horror movies, thrillers",3.5
15310,movie,into the grizzly maze,"action & adventure, horror movies",3.5
15311,movie,kingsglaive: final fantasy xv,"action & adventure, sci-fi & fantasy",3.5
15312,movie,legally blonde,"comedies, romantic movies",3.5
15313,movie,madam chief minister,"dramas, international movies",3.5
15315,movie,maximum risk,action & adventure,3.5
15317,movie,my fair lady,"classic movies, music & musicals",3.5
15319,movie,s.w.a.t.: under siege,"action & adventure, international movies",3.6
15321,movie,seven souls in the skull castle: season bird,"action & adventure, dramas, international movies",3.5
15322,movie,seven souls in the skull castle: season flower,"action & adventure, dramas, international movies",3.5
15323,movie,seven souls in the skull castle: season wind,"action & adventure, dramas, international movies",3.5
15324,movie,sniper: ghost shooter,action & adventure,3.6
15325,movie,starship troopers: traitor of mars,"action & adventure, sci-fi & fantasy",3.5
15326,movie,takers,action & adventure,3.6
15327,movie,tersanjung the movie,"dramas, international movies, romantic movies",3.5
15328,movie,the knight and the princess,"action & adventure, international movies, music & musicals",3.6
15329,movie,the pianist,"dramas, independent movies, international movies",3.5
15330,movie,the stepfather,"horror movies, thrillers",3.5
15331,movie,universal soldier: the return,action & adventure,3.6
15332,movie,wazir,"dramas, international movies, thrillers",3.4
15333,movie,white boy,documentaries,3.5
15335,movie,yes man,"comedies, romantic movies",3.6
15336,movie,at eternity's gate,dramas,3.6
15338,movie,not a game,"documentaries, international movies, sports movies",3.5
15341,movie,7 yards: the chris norton story,documentaries,3.6
15342,movie,octonauts & the ring of fire,children & family movies,3.5
15344,movie,mandela: long walk to freedom,"dramas, international movies",3.5
15345,movie,lawless,dramas,3.4
15346,movie,marked,"documentaries, international movies",3.6
15347,movie,a week away,"children & family movies, faith & spirituality, music & musicals",3.6
15348,movie,bad trip,comedies,3.5
15350,movie,black is beltza,"dramas, international movies",3.6
15351,movie,croupier,"dramas, independent movies, thrillers",3.5
15352,movie,elizabeth and margaret: love and loyalty,documentaries,3.6
15353,movie,keeping the bees,"dramas, international movies",3.5
15355,movie,ni de coña,"comedies, international movies",3.5
15356,movie,pagglait,"comedies, dramas, international movies",3.6
15358,movie,caught by a wave,"dramas, international movies, romantic movies",3.5
15361,movie,secret magic control agency,"children & family movies, comedies",3.6
15362,movie,seaspiracy,documentaries,3.5
15363,movie,loyiso gola: unlearning,stand-up comedy,3.6
15366,movie,philomena,"dramas, independent movies, international movies",3.5
15367,movie,any crybabies around?,"dramas, international movies",3.5
15368,movie,hospital,"horror movies, international movies",3.5
15369,movie,jiu jitsu,action & adventure,3.6
15374,movie,reframe theater experience with you,"international movies, music & musicals",3.5
15375,movie,the yin yang master,"action & adventure, international movies",3.5
15376,movie,who's the boss,"comedies, international movies, romantic movies",3.5
15378,movie,deadly illusions,thrillers,3.5
15379,movie,get the goat,"action & adventure, comedies, international movies",3.5
15380,movie,nate bargatze: the greatest average american,stand-up comedy,3.5
15381,movie,skylines,action & adventure,3.7
15382,movie,the fluffy movie,stand-up comedy,3.5
15383,movie,the present,"dramas, international movies",3.5
15384,movie,wave of cinema: 90's generation,"documentaries, international movies, music & musicals",3.5
15385,movie,catch.er,"dramas, international movies, thrillers",3.6
15386,movie,operation varsity blues: the college admissions scandal,documentaries,3.6
15388,movie,get on up,"dramas, music & musicals",3.6
15389,movie,rebellcomedy: straight outta the zoo,stand-up comedy,3.5
15390,movie,savages,"dramas, thrillers",3.5
15393,movie,c/o kaadhal,"dramas, international movies, romantic movies",3.5
15394,movie,the bfg,"children & family movies, dramas",3.5
15395,movie,the last blockbuster,documentaries,3.6
15398,movie,audrey,documentaries,3.5
15399,movie,çarsi pazar,"comedies, international movies",3.6
15400,movie,just in time,"comedies, dramas, international movies",3.6
15402,movie,mucize,"dramas, international movies",3.6
15403,movie,paper lives,"dramas, international movies",3.5
15405,movie,quiet,"dramas, international movies, music & musicals",3.5
15406,movie,romantik komedi,"comedies, international movies, romantic movies",3.6
15407,movie,romantik komedi 2: bekarlığa veda,"comedies, international movies, romantic movies",3.5
15409,movie,yes day,"children & family movies, comedies",3.5
15410,movie,you're everything to me,"comedies, dramas, independent movies",3.5
15411,movie,coven of sisters,"dramas, independent movies, international movies",3.6
15412,movie,generasi 90an: melankolia,"dramas, international movies",3.6
15413,movie,the block island sound,"horror movies, independent movies",3.6
15419,movie,bombay rose,"dramas, independent movies, international movies",3.5
15421,movie,aelay,"comedies, dramas, independent movies",3.5
15423,movie,dogwashers,"comedies, dramas, international movies",3.5
15424,movie,fate of alakada,"comedies, international movies",3.6
15427,movie,sentinelle,"action & adventure, dramas, international movies",3.5
15428,movie,mariposa,"comedies, international movies, romantic movies",3.5
15430,movie,parker,action & adventure,3.5
15431,movie,safe haven,"dramas, romantic movies",3.5
15432,movie,moxie,"comedies, dramas, music & musicals",3.5
15434,movie,black or white,dramas,3.6
15435,movie,indoo ki jawani,"action & adventure, comedies, international movies",3.5
15438,movie,banyuki,"action & adventure, dramas, international movies",3.5
15439,movie,biggie: i got a story to tell,"documentaries, music & musicals",3.5
15440,movie,blanche gardin: the all-nighter,stand-up comedy,3.5
15441,movie,connected,"documentaries, international movies, music & musicals",3.5
15442,movie,dances with wolves,"action & adventure, classic movies, dramas",3.6
15443,movie,how to be really bad,"comedies, international movies",3.6
15444,movie,lego marvel spider-man: vexed by venom,"children & family movies, comedies",3.5
15445,movie,rain man,"classic movies, dramas",3.5
15446,movie,seven souls in the skull castle 2011,"action & adventure, dramas, international movies",3.5
15447,movie,tenacious d in the pick of destiny,"comedies, cult movies, music & musicals",3.6
15449,movie,bigfoot family,"children & family movies, comedies",3.6
15450,movie,captain fantastic,"comedies, dramas, independent movies",3.5
15451,movie,crazy about her,"comedies, international movies, romantic movies",3.6
15452,movie,fuga,"dramas, independent movies, international movies",3.6
15453,movie,ginny & georgia - the afterparty,"comedies, dramas",3.7
15454,movie,no escape,action & adventure,3.5
15455,movie,our idiot brother,"comedies, dramas, independent movies",3.6
15456,movie,the girl on the train,"international movies, thrillers",3.5
15457,movie,tony manero,"dramas, independent movies, international movies",3.5
15458,movie,who am i,"international movies, thrillers",3.6
15460,movie,geez & ann,"dramas, international movies, romantic movies",3.5
15464,movie,"blue, painful, fragile","international movies, thrillers",3.6
15467,movie,m8 - when death rescues life,"dramas, international movies",3.5
15469,movie,brian regan: on the rocks,stand-up comedy,3.5
15470,movie,made you look: a true story about fake art,"documentaries, international movies",3.6
15471,movie,pelé,"documentaries, international movies, sports movies",3.5
15472,movie,red,"dramas, international movies",3.6
15474,movie,the conjuring,"horror movies, thrillers",3.5
15475,movie,the conjuring 2,horror movies,3.5
15477,movie,classmates minus,"comedies, dramas, independent movies",3.6
15478,movie,fate: the winx saga - the afterparty,"comedies, dramas",3.6
15479,movie,operation finale,"dramas, thrillers",3.5
15480,movie,wave of cinema: surat dari timur,"documentaries, international movies, music & musicals",3.5
15481,movie,i care a lot,"comedies, lgbtq movies, thrillers",3.5
15482,movie,love,"dramas, independent movies, international movies",3.5
15483,movie,perú: tesoro escondido,"documentaries, international movies",3.4
15486,movie,eeb allay ooo!,"comedies, dramas, independent movies",3.5
15488,movie,no escape room,horror movies,3.6
15494,movie,the most unknown,documentaries,3.6
15495,movie,animals on the loose: a you vs. wild movie,children & family movies,3.5
15496,movie,awara paagal deewana,"action & adventure, comedies, dramas",3.5
15498,movie,the resurrection of gavin stone,"children & family movies, comedies, dramas",3.4
15500,movie,"my teacher, my obsession",thrillers,3.6
15502,movie,namaste wahala,"comedies, dramas, international movies",3.6
15503,movie,monsoon,"dramas, independent movies, lgbtq movies",3.5
15506,movie,hate by dani rovira,stand-up comedy,3.5
15507,movie,mundina nildana,"dramas, international movies, romantic movies",3.5
15509,movie,to all the boys: always and forever,"comedies, romantic movies",3.6
15510,movie,xico's journey,children & family movies,3.5
15513,movie,growing up and other problems,"comedies, dramas, international movies",3.5
15514,movie,layla majnun,"dramas, international movies, romantic movies",3.6
15515,movie,middle of nowhere,"dramas, independent movies, romantic movies",3.5
15516,movie,red dot,"international movies, thrillers",3.6
15517,movie,squared love,"comedies, international movies, romantic movies",3.6
15518,movie,this is the life,"documentaries, music & musicals",3.6
15520,movie,the misadventures of hedi and cokeman,"comedies, international movies",3.6
15521,movie,the world we make,"dramas, romantic movies",3.5
15524,movie,war dogs,"comedies, dramas",3.5
15525,movie,monster run,"action & adventure, international movies",3.4
15527,movie,blanche gardin: i talk to myself,stand-up comedy,3.4
15528,movie,doob: no bed of roses,"dramas, independent movies, international movies",3.5
15531,movie,little big women,"dramas, international movies",3.5
15532,movie,malcolm & marie,"dramas, independent movies",3.6
15533,movie,space sweepers,"action & adventure, dramas, international movies",3.5
15534,movie,"strip down, rise up",documentaries,3.5
15535,movie,the last paradiso,"dramas, international movies, romantic movies",3.5
15536,movie,the yin-yang master: dream of eternity,"action & adventure, international movies",3.5
15537,movie,all my friends are dead,"comedies, dramas, international movies",3.6
15538,movie,black beach,"action & adventure, international movies",3.5
15542,movie,"our lady of san juan, four centuries of miracles","dramas, faith & spirituality, international movies",3.6
15544,movie,beverly hills ninja,"action & adventure, comedies",3.5
15548,movie,rocks,dramas,3.5
15549,movie,shutter island,thrillers,3.6
15550,movie,the bank job,"dramas, international movies, thrillers",3.5
15555,movie,zathura,"children & family movies, sci-fi & fantasy",3.5
15557,movie,fatima,"dramas, faith & spirituality",3.5
15558,movie,hell fest,horror movies,3.6
15559,movie,below zero,"action & adventure, international movies",3.6
15560,movie,finding ‘ohana,"children & family movies, comedies",3.5
15561,movie,the dig,"dramas, international movies",3.6
15563,movie,june & kopi,"children & family movies, dramas, international movies",3.5
15565,movie,accomplice,"documentaries, international movies, sports movies",3.6
15567,movie,kilometers and kilometers,"comedies, dramas, independent movies",3.5
15569,movie,penguin bloom,"children & family movies, dramas",3.5
15570,movie,black rose,"dramas, international movies",3.5
15572,movie,hire a woman,"comedies, international movies, romantic movies",3.6
15573,movie,she is,"dramas, international movies, romantic movies",3.4
15577,movie,so my grandma’s a lesbian!,"comedies, international movies, lgbtq movies",3.6
15578,movie,the next three days,"dramas, thrillers",3.6
15579,movie,the white tiger,dramas,3.6
15580,movie,friendsgiving,comedies,3.6
15581,movie,the shadow of violence,dramas,3.5
15582,movie,cut throat city,dramas,3.5
15584,movie,sightless,thrillers,3.6
15587,movie,homefront,action & adventure,3.5
15588,movie,a monster calls,"dramas, sci-fi & fantasy",3.5
15589,movie,death of me,horror movies,3.5
15590,movie,radium girls,"dramas, independent movies",3.5
15594,movie,double dad,"children & family movies, comedies, dramas",3.5
15596,movie,outside the wire,action & adventure,3.6
15597,movie,penguins of madagascar: the movie,"children & family movies, comedies",3.6
15598,movie,pinkfong & baby shark's space adventure,children & family movies,3.5
15600,movie,the vanished,thrillers,3.6
15601,movie,tribhanga - tedhi medhi crazy,"dramas, international movies",3.5
15602,movie,what would sophia loren do?,documentaries,3.6
15603,movie,wish you,"dramas, international movies, lgbtq movies",3.6
15604,movie,tanda tanya,"dramas, international movies",3.5
15605,movie,the heartbreak club,"comedies, dramas, international movies",3.5
15606,movie,an imperfect murder,"dramas, thrillers",3.5
15608,movie,al acecho,"international movies, thrillers",3.5
15609,movie,chris rock total blackout: the tamborine extended cut,stand-up comedy,3.6
15611,movie,"crack: cocaine, corruption & conspiracy",documentaries,3.6
15612,movie,the intouchables,"comedies, dramas, international movies",3.6
15613,movie,apaharan,"dramas, international movies",3.5
15614,movie,bluffmaster!,"comedies, international movies, romantic movies",3.5
15615,movie,charming,"children & family movies, comedies",3.6
15616,movie,creating the queen's gambit,documentaries,3.5
15617,movie,gangaajal,"dramas, international movies",3.5
15619,movie,is love enough? sir,"dramas, independent movies, international movies",3.5
15622,movie,stuck apart,"comedies, dramas, international movies",3.5
15624,movie,100% halal,"dramas, international movies",3.5
15625,movie,leap!,"children & family movies, comedies",3.5
15626,movie,pieces of a woman,dramas,3.5
15627,movie,ratones paranoicos: the band that rocked argentina,"documentaries, international movies, music & musicals",3.5
15629,movie,tony parker: the final shot,"documentaries, international movies, sports movies",3.6
15632,movie,hello brother,"action & adventure, comedies, international movies",3.5
15635,movie,playing for keeps,"comedies, romantic movies, sports movies",3.5
15636,movie,asphalt burning,"action & adventure, comedies, international movies",3.5
15637,movie,bad grandpa .5,comedies,3.6
15638,movie,case 39,"horror movies, thrillers",3.5
15641,movie,eddie murphy: raw,stand-up comedy,3.5
15642,movie,full out 2: you got this!,"children & family movies, dramas, sports movies",3.5
15643,movie,gimme shelter,"dramas, independent movies",3.5
15644,movie,good burger,"children & family movies, comedies",3.5
15645,movie,good hair,documentaries,3.5
15647,movie,into the wild,"action & adventure, dramas, independent movies",3.5
15649,movie,london heist,action & adventure,3.5
15650,movie,mean girls 2,comedies,3.6
15652,movie,mystic pizza,"comedies, dramas, independent movies",3.5
15655,movie,the creative brain,documentaries,3.5
15657,movie,the minimalists: less is now,documentaries,3.6
15658,movie,unknown,"action & adventure, thrillers",3.5
15659,movie,what happened to mr. cha?,"comedies, international movies",3.5
15660,movie,what's eating gilbert grape,"classic movies, dramas, independent movies",3.5
15661,movie,alaska is a drag,"dramas, lgbtq movies",3.5
15662,movie,best of stand-up 2020,stand-up comedy,3.5
15663,movie,bobby jasoos,"comedies, dramas, international movies",3.5
15665,movie,tarung sarung,"action & adventure, dramas, faith & spirituality",3.6
15666,movie,too handsome to handle,"comedies, dramas, international movies",3.5
15672,movie,the rope curse 2,"horror movies, international movies",3.6
15675,movie,cops and robbers,dramas,3.4
15676,movie,rango,"children & family movies, comedies",3.6
15677,movie,death to 2020,comedies,3.5
15679,movie,dna,"dramas, international movies",3.4
15681,movie,the magic school bus rides again in the zone,children & family movies,3.6
15682,movie,ak vs ak,"comedies, dramas, international movies",3.6
15684,movie,isa pa with feelings,"international movies, romantic movies",3.5
15685,movie,we can be heroes,"children & family movies, comedies",3.5
15686,movie,bridezilla,"comedies, dramas, international movies",3.5
15687,movie,cemara's family,"children & family movies, dramas, international movies",3.5
15688,movie,"hello, love, goodbye","dramas, international movies, romantic movies",3.6
15689,movie,the history of future folk,"action & adventure, comedies, independent movies",3.5
15690,movie,the midnight sky,dramas,3.5
15691,movie,your name engraved herein,"dramas, international movies, lgbtq movies",3.6
15692,movie,after we collided,"dramas, romantic movies",3.5
15693,movie,london hughes: to catch a d*ck,stand-up comedy,3.5
15695,movie,qlimax the source,music & musicals,3.5
15698,movie,shaun the sheep: the farmer’s llamas,"children & family movies, comedies",3.6
15700,movie,"ariana grande: excuse me, i love you","documentaries, music & musicals",3.6
15701,movie,the con is on,comedies,3.5
15702,movie,mohamed hussein,"comedies, international movies",3.5
15703,movie,rhys nicholson live at the athenaeum,stand-up comedy,3.6
15704,movie,atlas shrugged: part ii,dramas,3.5
15706,movie,guest house,comedies,3.5
15708,movie,ma rainey's black bottom,"dramas, music & musicals",3.6
15709,movie,ma rainey's black bottom: a legacy brought to screen,"documentaries, music & musicals",3.5
15710,movie,mukhsin,"children & family movies, comedies, dramas",3.5
15712,movie,rabun,"dramas, independent movies, international movies",3.4
15713,movie,talentime,"dramas, international movies, romantic movies",3.6
15714,movie,an unremarkable christmas,"comedies, dramas, international movies",3.5
15715,movie,braven,action & adventure,3.6
15716,movie,eggnoid: love & time portal,"dramas, international movies, romantic movies",3.6
15717,movie,love you to the stars and back,"comedies, international movies, romantic movies",3.5
15720,movie,sakaling maging tayo,"international movies, romantic movies",3.5
15722,movie,the wedding shaman,"dramas, international movies, romantic movies",3.6
15725,movie,bwakaw,"dramas, international movies, lgbtq movies",3.5
15727,movie,incarnate,"horror movies, thrillers",3.5
15728,movie,lee daniels' the butler,dramas,3.5
15731,movie,nocturnal animals,"dramas, thrillers",3.6
15733,movie,vir das: outside in - the lockdown special,stand-up comedy,3.5
15735,movie,grizzlies,"dramas, independent movies, sports movies",3.5
15740,movie,the professor and the madman,"dramas, independent movies",3.6
15741,movie,a california christmas,"comedies, romantic movies",3.5
15744,movie,the netflix afterparty: the best shows of the worst year,comedies,3.6
15747,movie,a trash truck christmas,children & family movies,3.6
15748,movie,canvas,"children & family movies, dramas",3.5
15749,movie,giving voice,documentaries,3.4
15751,movie,the prom,"comedies, lgbtq movies, music & musicals",3.6
15752,movie,torbaaz,"dramas, international movies, sports movies",3.5
15754,movie,funny boy,"dramas, lgbtq movies",3.5
15756,movie,just the way you are,"international movies, romantic movies",3.6
15757,movie,she's the one,"dramas, international movies, romantic movies",3.5
15758,movie,the panti sisters,"comedies, international movies, lgbtq movies",3.5
15759,movie,"kalel, 15","dramas, independent movies, international movies",3.5
15762,movie,rose island,"comedies, dramas, international movies",3.6
15766,movie,andré & his olive tree,"documentaries, international movies",3.6
15767,movie,bobbleheads the movie,"children & family movies, comedies",3.5
15768,movie,emicida: amarelo - it’s all for yesterday,"documentaries, international movies, music & musicals",3.5
15771,movie,spirit riding free: ride along adventure,children & family movies,3.5
15772,movie,super monsters: santa’s super monster helpers,children & family movies,3.4
15773,movie,triple 9,"dramas, thrillers",3.5
15775,movie,ava,"action & adventure, dramas",3.5
15779,movie,mighty express: a mighty christmas,children & family movies,3.5
15782,movie,captain underpants mega blissmas,"children & family movies, comedies",3.5
15783,movie,christmas crossfire,"comedies, international movies, thrillers",3.6
15785,movie,leyla everlasting,"comedies, international movies",3.5
15786,movie,mank,"dramas, independent movies",3.5
